GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jar-demo,com.example.jar,App,51,0,0,0,10,0,2,0,2,0
jar-demo,com.example.jar,Calculator,0,26,0,2,0,6,0,6,0,5
